hierarchyId	pCFID	name	verb	object	filePath
8.5.1	20785	Develop service/solution and integration strategy	Develop	Service/solution And Integration Strategy	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/index.mdx
8.5.1.1	20786	Determine IT service/solution development	Determine	IT Service/solution Development	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20786-DetermineItServiceSolutionDevelopment.mdx
8.5.1.2	20787	Define IT service/solution development processes/standards	Define	IT Service/solution Development Processes/standards	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20787-DefineItServiceSolutionDevelopmentProcessesStandards.mdx
8.5.1.3	20788	Identify, deploy, and support development methodologies and tools	Identify,	Deploy, And Support Development Methodologies And Tools	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20788-IdentifyDeployAndSupportDevelopmentMethodologiesAndTools.mdx
8.5.1.4	20789	Establish service component criteria	Establish	Service Component Criteria	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20789-EstablishServiceComponentCriteria.mdx
8.5.1.5	20790	Understand and select reusable service components	Understand	And Select Reusable Service Components	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20790-UnderstandAndSelectReusableServiceComponents.mdx
8.5.1.6	20791	Maintain service component portfolio	Maintain	Service Component Portfolio	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20791-MaintainServiceComponentPortfolio.mdx
8.5.1.7	20792	Establish development standards exception governance	Establish	Development Standards Exception Governance	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.1-DevelopServiceSolutionAndIntegrationStrategy/20792-EstablishDevelopmentStandardsExceptionGovernance.mdx
8.5.2	20793	Manage service/solution lifecycle planning	Manage	Service/solution Lifecycle Planning	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.2-ManageServiceSolutionLifecyclePlanning/index.mdx
8.5.2.1	20794	Monitor and track emerging technology capabilities	Monitor	And Track Emerging Technology Capabilities	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.2-ManageServiceSolutionLifecyclePlanning/20794-MonitorAndTrackEmergingTechnologyCapabilities.mdx
8.5.2.2	20795	Identify IT services/solutions	Identify	IT Services/solutions	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.2-ManageServiceSolutionLifecyclePlanning/20795-IdentifyItServicesSolutions.mdx
8.5.2.3	20796	Determine IT service/solution approach	Determine	IT Service/solution Approach	08-ManageInformationTechnologyIt/8.5-DevelopAndManageServicesSolutions/8.5.2-ManageServiceSolutionLifecyclePlanning/20796-DetermineItServiceSolutionApproach.mdx
